MAE,RMSE,MAPE,model,random_state,dataset,target,n_rows,n_features,run
0.06891118490949927,0.09509223987499806,3.312291015699812,LinearRegression,0,cranium,time,1919,11,1
0.040663281250000044,0.0540915960159118,2.034115276412563,RandomForest,0,cranium,time,1919,11,1
0.06585145961879163,0.09399888030996251,3.2192855792278854,LinearRegression,1,cranium,time,1919,11,2
0.039646701388888796,0.05208348791643717,2.008463340509071,RandomForest,1,cranium,time,1919,11,2
0.07227785529270522,0.10116437987218523,3.4807470685305284,LinearRegression,2,cranium,time,1919,11,3
0.042994704861111094,0.05514044005392298,2.139265175974161,RandomForest,2,cranium,time,1919,11,3
0.06950669215281596,0.09762751457462678,3.3430141511942346,LinearRegression,3,cranium,time,1919,11,4
0.038898177083333464,0.05107416469683262,1.9527859474485105,RandomForest,3,cranium,time,1919,11,4
0.0721027528412545,0.1024185528640998,3.3781955559494397,LinearRegression,4,cranium,time,1919,11,5
0.041858072916666704,0.05487082079599675,2.049905513643216,RandomForest,4,cranium,time,1919,11,5
0.07390744004108743,0.10175278027736546,3.582966425510202,LinearRegression,5,cranium,time,1919,11,6
0.04189973958333347,0.054641027118988876,2.083699852418046,RandomForest,5,cranium,time,1919,11,6
0.07015392762667705,0.09741315022708225,3.319435604648825,LinearRegression,6,cranium,time,1919,11,7
0.04113741319444467,0.05276179958700936,2.0269585438356126,RandomForest,6,cranium,time,1919,11,7
0.06677546877763242,0.09148423069161128,3.2772556691389085,LinearRegression,7,cranium,time,1919,11,8
0.04014019097222224,0.05109027128830399,1.993930286871542,RandomForest,7,cranium,time,1919,11,8
0.0682629402739728,0.09603679838838582,3.2753329672208515,LinearRegression,8,cranium,time,1919,11,9
0.04153550347222225,0.053788079655448164,2.0625390903198193,RandomForest,8,cranium,time,1919,11,9
0.06762994260850914,0.09284563048973485,3.221647013037284,LinearRegression,9,cranium,time,1919,11,10
0.04021744791666664,0.05293136184569878,2.0032071082406224,RandomForest,9,cranium,time,1919,11,10
0.07090095041266815,0.09920260517285372,3.3582449108463517,LinearRegression,10,cranium,time,1919,11,11
0.039275173611111124,0.051172548352228016,1.9546981574742366,RandomForest,10,cranium,time,1919,11,11
0.06705461093509471,0.09330818106978217,3.2155216647115514,LinearRegression,11,cranium,time,1919,11,12
0.0391140624999999,0.05114171504125668,1.9376063659351679,RandomForest,11,cranium,time,1919,11,12
0.06799647318731708,0.09333405029301665,3.313024661331318,LinearRegression,12,cranium,time,1919,11,13
0.04184418402777784,0.05402526467394944,2.099484117030456,RandomForest,12,cranium,time,1919,11,13
0.07101181933098595,0.09741676907432352,3.404542106799322,LinearRegression,13,cranium,time,1919,11,14
0.04070659722222238,0.053022828466064334,2.0359592027104236,RandomForest,13,cranium,time,1919,11,14
0.0677894007773594,0.09253091843187992,3.2302695976766715,LinearRegression,14,cranium,time,1919,11,15
0.04068923611111118,0.05226900322291094,2.0200447115893807,RandomForest,14,cranium,time,1919,11,15
0.06995228285170693,0.09962350857882458,3.4488036868191956,LinearRegression,15,cranium,time,1919,11,16
0.040247135416666545,0.052090577871160094,2.0283580744834007,RandomForest,15,cranium,time,1919,11,16
0.06707463304070853,0.09482917897759939,3.1585286749152757,LinearRegression,16,cranium,time,1919,11,17
0.03966614583333328,0.052130620866669634,1.9800326256380267,RandomForest,16,cranium,time,1919,11,17
0.07027486727324142,0.09776647166964615,3.362539137994274,LinearRegression,17,cranium,time,1919,11,18
0.03852248263888888,0.05002582661978763,1.9232003227331664,RandomForest,17,cranium,time,1919,11,18
0.07075035665625637,0.09846236811179165,3.3421015342936427,LinearRegression,18,cranium,time,1919,11,19
0.03889531249999984,0.050717324336435644,1.9113897412223735,RandomForest,18,cranium,time,1919,11,19
0.07298589918399373,0.10072007650156595,3.43954151173915,LinearRegression,19,cranium,time,1919,11,20
0.041249999999999926,0.053448593228031256,2.038020134557226,RandomForest,19,cranium,time,1919,11,20
0.0720165609992067,0.10071868687694262,3.383641138542791,LinearRegression,20,cranium,time,1919,11,21
0.04061484374999979,0.052501681810032945,1.9851329509080904,RandomForest,20,cranium,time,1919,11,21
0.06850841006924474,0.09868463604302374,3.2155015538576595,LinearRegression,21,cranium,time,1919,11,22
0.04004609375000011,0.05153249872147848,2.010455674878659,RandomForest,21,cranium,time,1919,11,22
0.06819703420182094,0.09435395840775805,3.3525744869053464,LinearRegression,22,cranium,time,1919,11,23
0.040820833333333334,0.05369291566592702,2.0574474285579245,RandomForest,22,cranium,time,1919,11,23
